site;init;queens;wtgain;thiam_n;cloth_n;imid_n;thiam_p;cloth_p;imid_p
1;32;16;443;-;0.075;<0.025;<0.5;<0.5;<0.5
1;12;46;341;1.517;0.098;<0.025;0.701;<0.5;<0.5
1;18;176;654;0.724;0.026;<0.025;<0.5;<0.5;<0.5
1;19;0;222;-;0.063;<0.025;1.145;<0.5;<0.5
1;16;52;882;0.685;0.033;<0.025;0.893;<0.5;<0.5
1;26;2;398;1.037;0.108;<0.025;0.604;<0.5;<0.5
1;26;3;811;1.186;0.055;<0.025;<0.5;<0.5;<0.5
1;17;5;626;-;0.062;<0.025;<0.5;<0.5;<0.5
1;22;32;840;0.593;<0.025;<0.025;0.545;<0.5;<0.5
1;16;0;897;1.343;0.055;<0.025;0.531;<0.5;<0.5
1;15;4;525;<0.5;0.045;<0.025;<0.5;<0.5;<0.5
1;52;4;607;0.994;0.025;<0.025;<0.5;<0.5;<0.5
1;10;2;335;0.995;0.037;<0.025;0.521;<0.5;<0.5
1;14;145;884;<0.5;<0.025;<0.025;<0.5;<0.5;<0.5
1;20;2;596;0.537;0.027;<0.025;<0.5;<0.5;<0.5
1;17;43;490;<0.5;<0.025;<0.025;<0.5;<0.5;<0.5
1;19;1;217;1.384;0.076;<0.025;0.977;<0.5;<0.5
1;21;0;344;1.048;0.05;<0.025;0.641;<0.5;<0.5
1;27;51;827;<0.5;<0.025;<0.025;<0.5;<0.5;<0.5
1;27;21;539;1.534;0.073;<0.025;<0.5;<0.5;<0.5
2;41;6;981;-;0.102;<0.025;0.768;<0.5;<0.5
2;28;11;435;2.86;0.205;<0.025;0.55;<0.5;<0.5
2;27;47;577;3.877;0.178;<0.025;0.623;<0.5;<0.5
2;18;43;697;3.143;0.186;<0.025;0.52;<0.5;<0.5
2;17;4;267;3.747;0.106;<0.025;0.534;<0.5;<0.5
2;25;1;148;2.9;0.199;<0.025;0.84;<0.5;<0.5
2;17;0;86;2.235;0.193;<0.025;1.55;<0.5;<0.5
2;26;41;763;2.31;0.172;<0.025;0.556;<0.5;<0.5
2;28;14;765;3.168;0.283;<0.025;0.636;<0.5;<0.5
2;37;143;827;2.037;0.093;<0.025;0.606;<0.5;<0.5
2;12;0;956;1.817;0.143;<0.05;0.593;<0.5;<0.5
2;18;22;270;2.118;0.254;<0.05;0.57;<0.5;<0.5
2;22;5;516;1.104;0.152;<0.05;0.606;<0.5;<0.5
2;23;0;378;1.618;0.199;<0.05;0.776;<0.5;<0.5
2;25;14;726;1.99;0.226;<0.05;0.999;<0.5;<0.5
2;18;45;568;2.492;0.208;<0.025;1.027;<0.5;<0.5
2;19;14;347;2.122;0.203;<0.025;0.762;<0.5;<0.5
2;29;57;562;2.283;0.18;<0.025;<0.5;<0.5;<0.5
2;34;101;1028;1.947;0.19;<0.025;0.615;<0.5;<0.5
2;20;23;842;1.86;0.144;<0.025;0.508;<0.5;<0.5
3;14;4;395;-;<0.025;0.08;<0.5;<0.5;<0.5
3;17;7;421;-;<0.025;<0.025;<0.5;<0.5;<0.5
3;20;5;399;-;<0.025;<0.025;<0.5;<0.5;<0.5
3;12;0;177;-;-;-;-;-;-
3;18;3;562;<0.05;<0.025;<0.025;<0.5;<0.5;<0.5
3;13;23;526;-;<0.025;<0.025;<0.5;<0.5;<0.5
3;11;0;9;-;0.043;0.089;<0.5;<0.5;<0.5
3;23;18;503;-;-;-;<0.5;<0.5;<0.5
3;14;63;338;-;<0.025;0.039;-;-;-
3;11;14;598;<0.05;<0.025;<0.025;<0.5;<0.5;<0.5
3;10;25;374;-;-;-;<0.5;<0.5;<0.5
3;30;43;264;<0.05;<0.025;<0.025;-;-;-
3;16;7;272;-;<0.025;0.084;<0.5;<0.5;<0.5
3;14;1;164;-;0.029;0.083;<0.5;<0.5;<0.5
3;15;0;47;-;-;-;-;-;-
3;21;32;631;-;<0.025;0.057;<0.5;<0.5;<0.5
3;13;0;337;<0.05;<0.025;0.029;<0.5;<0.5;<0.5
3;16;1;18;-;-;-;-;-;-
3;18;2;494;-;<0.025;<0.025;<0.5;<0.5;<0.5
3;21;58;364;<0.05;<0.025;0.03;<0.5;<0.5;<0.5
